 Diffraction intensities for potential:-1x1pristine10001.in
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
#      1     0       4.8132286174E-002
#      1     1       5.6987206236E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.700000E+01
#     -9     2       1.8514514559E-008
#     -9     3       2.0050795336E-007
#     -9     4       4.2962552467E-007
#     -9     5       5.5100428321E-008
#     -9     6       1.5485278447E-008
#     -8     1       3.2476043391E-007
#     -8     2       4.1054455811E-006
#     -8     3       9.8419088063E-006
#     -8     4       6.6357401007E-006
#     -8     5       1.1818748736E-006
#     -8     6       2.4001201014E-007
#     -7     0       2.9862515618E-006
#     -7     1       3.3726393821E-005
#     -7     2       9.9712337112E-005
#     -7     3       1.3941244703E-004
#     -7     4       3.3255273564E-005
#     -7     5       1.7125087928E-005
#     -7     6       1.1916804695E-006
#     -7     7       4.6478546008E-008
#     -6    -1       1.4060415615E-005
#     -6     0       1.3360800793E-004
#     -6     1       6.1856563100E-004
#     -6     2       9.1957058959E-004
#     -6     3       5.9300757125E-004
#     -6     4       2.3421059966E-004
#     -6     5       1.0939990824E-004
#     -6     6       2.8797952399E-006
#     -6     7       3.3697121355E-007
#     -5    -2       1.3735810121E-005
#     -5    -1       3.3645079856E-004
#     -5     0       1.9258163089E-003
#     -5     1       4.2094350493E-003
#     -5     2       3.6791324293E-003
#     -5     3       1.4206820937E-003
#     -5     4       1.7219276074E-003
#     -5     5       2.0804341889E-004
#     -5     6       2.3398520473E-005
#     -4    -3       2.0043133463E-005
#     -4    -2       4.2796158503E-004
#     -4    -1       3.1045924869E-003
#     -4     0       1.2427285639E-002
#     -4     1       1.2866106628E-002
#     -4     2       7.1416969797E-003
#     -4     3       7.1010871015E-003
#     -4     4       4.4344839331E-003
#     -4     5       3.6790128977E-004
#     -4     6       4.8235893288E-005
#     -3    -3       3.0613012411E-004
#     -3    -2       3.7983161337E-003
#     -3    -1       1.4835794131E-002
#     -3     0       3.8169663590E-002
#     -3     1       1.9010035508E-002
#     -3     2       1.0691318739E-002
#     -3     3       2.7024800621E-002
#     -3     4       3.3057634785E-003
#     -3     5       1.4634360100E-003
#     -2    -3       1.3116477757E-003
#     -2    -2       1.6378828037E-002
#     -2    -1       4.2202083055E-002
#     -2     0       4.5280114425E-002
#     -2     1       9.5871980977E-003
#     -2     2       5.1787080398E-002
#     -2     3       2.3545502976E-002
#     -2     4       1.2998014803E-002
#     -2     5       1.7708513373E-003
#     -1    -4       3.1728057680E-005
#     -1    -3       1.8892766291E-003
#     -1    -2       2.3370797399E-002
#     -1    -1       6.8261579842E-002
#     -1     0       6.1038208931E-003
#     -1     1       6.4732823876E-003
#     -1     2       8.7731665707E-002
#     -1     3       3.6590390759E-002
#     -1     4       7.3362396839E-003
#      0    -3       5.8008547948E-003
#      0    -2       5.9065755659E-003
#      0    -1       3.3540051271E-002
#      0     0       4.2641550733E-002
#      0     1       5.9050496809E-002
#      0     2       1.6983586412E-002
#      0     3       9.9614029043E-003
#      1    -3       3.7614977527E-002
#      1    -2       9.7534888662E-002
#      1    -1       3.2810125812E-003
#      1     0       2.3525642242E-002
#      1     1       3.8449418138E-002
# Diffraction Probabilities at:
# ------------------------------------
 # Beam energy           ei = 0.6500E+02
 # Polar angle        theta =   0.450000E+02  0.800000E+01
#     -9     2       3.9016613025E-008
#     -9     3       1.5757974367E-007
#     -9     4       4.4337276020E-007
#     -9     5       4.9720589379E-008
#     -9     6       1.9416161717E-008
#     -8     1       6.6047915184E-007
#     -8     2       4.0337965687E-006
#     -8     3       1.0358664956E-005
#     -8     4       6.6961814949E-006
#     -8     5       9.8950591885E-007
#     -8     6       3.0135537651E-007
#     -7    -1       6.1430356638E-008
#     -7     0       4.0431067026E-006
#     -7     1       3.6470346127E-005
#     -7     2       1.0287948682E-004
#     -7     3       1.4425785698E-004
#     -7     4       3.0117436944E-005
#     -7     5       1.6232833368E-005
#     -7     6       1.8987074908E-006
#     -7     7       3.9011442610E-007
#     -6    -1       1.3423905021E-005
#     -6     0       1.4499715421E-004
#     -6     1       6.5056173485E-004
#     -6     2       9.2590420358E-004
#     -6     3       6.2958113404E-004
#     -6     4       1.7637023106E-004
#     -6     5       1.1457090126E-004
#     -6     6       8.5507324682E-006
#     -6     7       2.3053174271E-006
#     -5    -2       1.6830059738E-005
#     -5    -1       3.5124807108E-004
#     -5     0       2.0170629234E-003
#     -5     1       4.2567080537E-003
#     -5     2       3.8035409920E-003
#     -5     3       1.3672849175E-003
#     -5     4       1.3907902488E-003
#     -5     5       3.3180737368E-004
#     -5     6       5.6881141604E-005
#     -4    -3       2.2721792837E-005
#     -4    -2       4.1307870676E-004
#     -4    -1       3.3037972773E-003
#     -4     0       1.2506932610E-002
#     -4     1       1.2911308616E-002
#     -4     2       7.6367247337E-003
#     -4     3       5.6138529514E-003
#     -4     4       4.1174540493E-003
#     -4     5       1.0329756734E-003
#     -4     6       1.3004638074E-004
#     -3    -3       3.0018794071E-004
#     -3    -2       3.9137710499E-003
#     -3    -1       1.5164148133E-002
#     -3     0       3.7535129212E-002
#     -3     1       1.9333772403E-002
#     -3     2       9.4093582359E-003
#     -3     3       2.2180933783E-002
#     -3     4       5.9167653012E-003
#     -3     5       2.8995739515E-003
#     -2    -4       2.4385850292E-005
#     -2    -3       1.1942463462E-003
#     -2    -2       1.7305336732E-002
#     -2    -1       4.0613600828E-002
#     -2     0       4.2331460474E-002
#     -2     1       1.0786183311E-002
#     -2     2       4.0045459222E-002
#     -2     3       2.3696316023E-002
#     -2     4       2.1283320953E-002
#     -2     5       3.0314060098E-005
#     -1    -4       3.5528453157E-005
#     -1    -3       1.9130709485E-003
#     -1    -2       2.6660255795E-002
#     -1    -1       5.8142121195E-002
#     -1     0       5.5048269987E-003
